"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        操作步骤:
            开party：语音party
        预期结果:
            开party显示正常；
        ","98471","test_produce","Vshow_CASE.Regression_case.Party","2026-01-13","failed","2026-01-13","Test_VSHOWBASE_Party53","test_VshowBase_Party53","",""
"
        操作步骤:
            动态点赞
        预期结果:
           正常点赞成功
        ","106301","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic05","test_VshowBase_Dynamic05","",""
"
        操作步骤:
            直播间右滑清屏
        预期结果:
            正常清屏
        ","55092","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Live34","test_VshowBase_Live34","",""
"
        操作步骤:
            主播点击“结束直播”按钮--直播间关闭，观众看到结束提示页面
        预期结果:
           直播间关闭，观众看到结束提示页面
        ","7269","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live21","test_VshowBase_Live21","",""
"
        操作步骤:
            使用中国的账号随机注册，使用注册的账号进行登录
        预期结果:
            注册成功后，使用新账号进行登录，登录成功
        ","141364","test_produce","Vshow_CASE.Regression_case.Z-Login","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Login01","test_VshowBase_Login01","",""
"
        操作步骤:
            点击编辑资料-修改头像
        预期结果:
            图片上传成功
        ","51493","test_produce","Vshow_CASE.Regression_case.My","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_My02","test_VshowBase_My02","",""
"
        操作步骤:
            检查 话题功能
        预期结果:
            勾选话题正常发布，且正常进入话题详情页面
        ","65886","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic03","test_VshowBase_Dynamic03","",""
"
        操作步骤:
            @好友功能
        预期结果:
            正常@好友且发布
        ","44323","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic04","test_VshowBase_Dynamic04","",""
"
        操作步骤:
            上麦用户可以正常开启视频--开启视频主播点击可以打开麦上用户的视频/关闭
        预期结果:
            可以打开麦上用户的视频/关闭
        ","424750","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Live15","test_VshowBase_Live15","",""
"
        操作步骤:
            点击编辑资料-修改昵称
        预期结果:
            修改成功
        ","55372","test_produce","Vshow_CASE.Regression_case.My","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_My03","test_VshowBase_My03","",""
"
        操作步骤:
            上传图片发布
        预期结果:
            上传成功，发布成功
        ","67852","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic01","test_VshowBase_Dynamic01","",""
"
        操作步骤:
            输入正确的id搜索
        预期结果:
           正常搜索到对应内容，点击正常
        ","7998","test_produce","Vshow_CASE.Regression_case.Search","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Search01","test_VshowBase_Search01","",""
"
        操作步骤:
            在直播间内，用户点击在线观众头像
        预期结果:
            弹出用户卡片，查看财富等级和直播等级正常
        ","7665","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live11","test_VshowBase_Live11","",""
"
        操作步骤:
            点击“开始直播”设置标题、封面等--直播间创建成功，观众可进入观看
        预期结果:
            直播间创建成功，观众可进入观看
        ","46358","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Live20","test_VshowBase_Live20","",""
"
        操作步骤:
            动态评论
        预期结果:
           输入文字正常评论
        ","65894","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic06","test_VshowBase_Dynamic06","",""
"
        操作步骤:
            在直播间内，用户点击在线观众头像
        预期结果:
            弹出用户卡片
        ","6267","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live10","test_VshowBase_Live10","",""
"
        操作步骤:
            party房主开启/关闭麦位
        预期结果:
            关闭-麦位展示一个锁的标识，且用户无法上麦 开启-用户正常上下麦
        ","341889","test_produce","Vshow_CASE.Regression_case.Party","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Party04","test_VshowBase_Party04","",""
"
        操作步骤:
            直播间发起pk
        预期结果:
            发起pk随机pk 双方画面正常显示
        ","0","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live28","test_VshowBase_Live28","",""
"
        操作步骤:
            点击进入动态详情页
        预期结果:
           动态详情页展示正常
        ","76584","test_produce","Vshow_CASE.Regression_case.Dynamic","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Dynamic07","test_VshowBase_Dynamic07","",""
"
        操作步骤:
            开party：视频party
        预期结果:
            开party 显示正常；功能：开启/关闭视频正常
        ","108462","test_produce","Vshow_CASE.Regression_case.Party","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Party03","test_VshowBase_Party03","",""
"
        操作步骤:
            使用中国的账号随机注册，使用注册的账号进行登录
        预期结果:
            注册成功后，使用新账号进行登录，登录成功
        ","41365","test_produce","Vshow_CASE.Regression_case.Z-Login","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Login09","test_VshowBase_Login09","",""
"
        操作步骤:
            直播间上麦--主播和麦上用户切后台是否崩溃
        预期结果:
            app无崩溃现象，可安全退出直播间
        ","118546","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live13","test_VshowBase_Live13","",""
"
        操作步骤:
            余额不足选择付费礼物 点击赠送--礼物无法正常送出且弹出充值窗口
        预期结果:
            礼物无法正常送出且弹出充值窗口
        ","6914","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","broken","2026-01-13","Test_VSHOWBASE_Live19","test_VshowBase_Live19","",""
"
        操作步骤:
            直播间点击在线观众列表按钮
        预期结果:
            正常展示当前在线观看用户列表
        ","52474","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Live24","test_VshowBase_Live24","",""
"
        操作步骤:
            直播间上麦--用户申请上麦主播可以选择接受或拒绝
        预期结果:
            操作都成功
        ","274666","test_produce","Vshow_CASE.Regression_case.Live","2026-01-13","passed","2026-01-13","Test_VSHOWBASE_Live12","test_VshowBase_Live12","",""
